"EntityNumber","TypeOfAddress","CountryNL","CountryFR","Zipcode","MunicipalityNL","MunicipalityFR","StreetNL","StreetFR","HouseNumber","Box","ExtraAddressInfo","DateStrikingOff"
"2.153.245.689","BAET",,,"7100","La Louvière","La Louvière","Rue Anatole France(L.L)","Rue Anatole France(L.L)","16","","",
"2.153.245.986","BAET",,,"1400","Nivelles","Nivelles","Place Albert-Ier","Place Albert-Ier","3-5","","",
"2.153.246.085","BAET",,,"7800","Ath","Ath","Rue Jean Jaurès","Rue Jean Jaurès","11","","",
"2.153.246.283","BAET",,,"6000","Charleroi","Charleroi","Rue de la Science","Rue de la Science","2","","",
"2.153.246.580","BAET",,,"6041","Charleroi","Charleroi","Rue du Carrosse","Rue du Carrosse","2","","",
"2.153.246.778","BAET",,,"4970","Stavelot","Stavelot","Cour de l'Hôtel de ville","Cour de l'Hôtel de ville","3","","",
"2.153.246.877","BAET",,,"5020","Namur","Namur","Rue Tir de Ronet(FW)","Rue Tir de Ronet(FW)","5","","",
"2.153.247.174","BAET",,,"5580","Rochefort","Rochefort","Rue Joseph-Wauters,Jemelle","Rue Joseph-Wauters,Jemelle","S/N","","",
"2.153.247.273","BAET",,,"6900","Marche-en-Famenne","Marche-en-Famenne","On, Rue Delvigne","On, Rue Delvigne","102","","",
"2.153.247.570","BAET",,,"5580","Rochefort","Rochefort","Rue de l'Antenne,Lessive","Rue de l'Antenne,Lessive","63","","",
"2.153.247.768","BAET",,,"4500","Huy","Huy","Rue du Vieux-Pont","Rue du Vieux-Pont","16","","",
"2.153.248.164","BAET",,,"4800","Verviers","Verviers","Rue Thil Lorrain","Rue Thil Lorrain","6","","",
"2.153.248.263","BAET",,,"9800","Deinze","Deinze","Ommegangstraat","Ommegangstraat","24","","",
"2.153.248.659","BAET",,,"9900","Eeklo","Eeklo","Euerardstraat","Euerardstraat","39","","",
"2.153.248.758","BAET",,,"9080","Lochristi","Lochristi","Dekenijstraat","Dekenijstraat","11","","",
"2.153.249.055","BAET",,,"9230","Wetteren","Wetteren","Stationsplein","Stationsplein","10","","",
"2.153.249.352","BAET",,,"4780","Sankt Vith","Sankt Vith","Malmedyer Strasse","Malmedyer Strasse","22","","",
"2.153.258.458","BAET",,,"2200","Herentals","Herentals","Molenvest(HRT)","Molenvest(HRT)","13","","",
"2.160.609.474","BAET",,,"4700","Eupen","Eupen","Klötzerbahn","Klötzerbahn","24","","",
"2.174.815.917","BAET",,,"3001","Leuven","Leuven","Geldenaaksebaan","Geldenaaksebaan","335","","",
"2.174.823.142","BAET",,,"7000","Mons","Mons","Place des Grands Prés","Place des Grands Prés","1","30","",
"2.174.824.528","BAET",,,"9000","Gent","Gent","Zwijnaardsesteenweg","Zwijnaardsesteenweg","314","","",
"2.177.924.667","BAET",,,"1070","Anderlecht","Anderlecht","Researchdreef","Allée de la Recherche","20","","",
"2.181.462.494","BAET",,,"8750","Wingene","Wingene","Rakestraat","Rakestraat","27A","","",
"2.186.642.096","BAET",,,"6600","Bastogne","Bastogne","Rue du Sablon","Rue du Sablon","125-127","","62GS1A",
"2.186.643.779","BAET",,,"6800","Libramont-Chevigny","Libramont-Chevigny","Libramont,Avenue de Bouillon","Libramont,Avenue de Bouillon","5","","61GS1A",
"2.187.794.913","BAET",,,"8800","Roeselare","Roeselare","Wijnendalestraat","Wijnendalestraat","160","","51ROWA",
"2.209.570.522","BAET",,,"8200","Brugge","Brugge","Koningin Astridlaan","Koningin Astridlaan","97","6","50BKOA",
"2.210.681.072","BAET",,,"6180","Courcelles","Courcelles","Rue de Liège(CO)","Rue de Liège(CO)","70","","71LOGA",
"2.210.681.864","BAET",,,"8630","Veurne","Veurne","Ooststraat","Ooststraat","19","","",
"2.210.722.050","BAET",,,"1030","Brussel","Bruxelles","Koning AlbertII laan","Boulevard du Roi Albert II","27 GLV","","",
"2.210.722.149","BAET",,,"1030","Brussel","Bruxelles","Koning AlbertII laan","Boulevard du Roi Albert II","27",".","Verdieping 28U",
"2.211.072.339","BAET",,,"8560","Wevelgem","Wevelgem","Oostlaan","Oostlaan","6","","56GOOA",
