"EntityNumber","TypeOfAddress","CountryNL","CountryFR","Zipcode","MunicipalityNL","MunicipalityFR","StreetNL","StreetFR","HouseNumber","Box","ExtraAddressInfo","DateStrikingOff"
"0400.371.260","REGO","Frankrijk","France","","Macon","Macon","Résidence du Parc  Bd Henry Duna","Résidence du Parc  Bd Henry Duna","","","",
"0400.372.943","REGO","Nederland","Pays-Bas","","Breda Nederland","Breda Nederland","Markendaalseweg","Markendaalseweg","","","",
"0400.373.339","REGO","Nederland","Pays-Bas","","Amsterdam","Amsterdam","Hoogte Kadijk","Hoogte Kadijk","143","","",
"0400.377.891","REGO","Groot-Brittannië","Grande-Bretagne","","Brierley Hill, Staffs","Brierley Hill, Staffs","P.O. Box 20 Leuches Bridge","P.O. Box 20 Leuches Bridge","","","",
"0400.378.782","REGO","Frankrijk","France","","Levallois-Perret","Levallois-Perret","Rue Danton","Rue Danton","102","","",
"0400.379.277","REGO","Joegoslavië (Servië-Montenegro)","Yougoslavie (Serbie-Montenegro)","","Trbobvbje","Trbobvbje","Cimnazijnska","Cimnazijnska","16","","",
"0400.380.762","REGO","Verenigde Staten van Amerika","Etats-Unis d'Amérique","","Houston, 17 (Texas)","Houston, 17 (Texas)","Long Drive","Long Drive","6602","","",
"0400.384.227","REGO","Groot-Brittannië","Grande-Bretagne","","Londres E.C. 1","Londres E.C. 1","Goswell Road","Goswell Road","250","","",
"0400.387.888","REGO","Nederland","Pays-Bas","","Venray","Venray","Stationsweg","Stationsweg","94","","",
"0400.396.204","REGO","Frankrijk","France","","Paris","Paris","Rue Picciné","Rue Picciné","","","",
"0400.412.931","REGO","Verenigde Staten van Amerika","Etats-Unis d'Amérique","","Reno, Nevada/U.S.A.","Reno, Nevada/U.S.A.","East First Street","East First Street","1","","",
